chapter_name,link,local_date,name,yes_rsvp_count
Abuja Women in Machine Learning and Data Science,https://www.meetup.com/Abuja-Women-in-Machine-Learning-and-Data-Science/events/248093867/,3/10/18,Big Data: From Chaos to Intelligence,17
Abuja Women in Machine Learning and Data Science,https://www.meetup.com/Abuja-Women-in-Machine-Learning-and-Data-Science/events/250336442/,5/5/18,Machine Learning: A Focus on Supervised and Unsupervised Learning,35
Abuja Women in Machine Learning and Data Science,https://www.meetup.com/Abuja-Women-in-Machine-Learning-and-Data-Science/events/252829616/,7/21/18,Deep Learning: Build An Image Classification Model,20
Lagos Women in Machine Learning & Data Science,https://www.meetup.com/Lagos-Women-in-Machine-Learning-Data-Science/events/240818356/,6/24/17,NLP: Zero to one,59
Lagos Women in Machine Learning & Data Science,https://www.meetup.com/Lagos-Women-in-Machine-Learning-Data-Science/events/241750338/,8/5/17,Handling Imbalanced Datasets: Building a model and deploying to production,63
Lagos Women in Machine Learning & Data Science,https://www.meetup.com/Lagos-Women-in-Machine-Learning-Data-Science/events/243878349/,11/25/17,The ABC-XYZ of Data Science before Machine Learning,50
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/235910743/,12/8/16,Uncovering patterns and trends using exploratory data analysis,17
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/237180712/,1/28/17,Extracting Your Own Web Data using Scraping Tools,8
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/237573747/,2/25/17,TensorFlow Post-Summit Event,95
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/238235456/,3/25/17,Fueling the Artificial Intelligence revolution with gaming!,35
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/239293830/,4/22/17,Sentiment Analysis in R,22
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/240078624/,5/27/17,Unravelling Intel Deep Learning SDK,28
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/240707575/,6/24/17,TensorFlow : Zero to One,70
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/241680273/,7/22/17,Treasure Island: Bioinformatics for everyone.,67
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/242553989/,8/26/17,Deep Learning for Crypt-analysis using TensorFlow,62
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/243495389/,9/23/17,Prototyping Back Propagation in Excel For Greater Good,24
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/245126032/,11/25/17,Data Science and Machine Learning in Practice,107
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/245643924/,12/9/17,#NairobiWiMLDS turns 1 + Christmas Party,71
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/246683570/,1/27/18,Around the world of data science in 60 minutes or less,132
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/247038050/,2/24/18,TensorFlow Series: Convolutional Neural Networks for Image Classification,110
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/247931427/,3/8/18,WiDS Conference Nairobi,17
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/247932279/,3/10/18,WiDS Nairobi Code-labs,116
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/248725652/,4/7/18,IndabaXKenya,58
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/249739196/,4/28/18,Tensorflow Dev Summit Extended,125
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/250902123/,5/26/18,The Pivotal Career Shift through Data Science and Machine Learning.,138
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/251196226/,6/2/18,Fireside chat with Sara Hooker,72
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/251403780/,6/9/18,Fireside chat with Billy Okal,71
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/251522663/,6/14/18,Fireside chat with Omoju Miller,74
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/251983272/,6/30/18,A beautiful mind: Hands on Game Theory,79
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/252741357/,7/17/18,AI in the financial inclusion space in Africa,57
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/252697149/,7/27/18,Machine Learning Beyond Images and Text,73
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/252810105/,8/4/18,Google Next '18 Extended Nairobi,131
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/256835824/,12/15/18,#NairobiWiMLDS turns 2 + Christmas Party,119
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/258521990/,2/2/19,Python for Data Science Meetup,24
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/259322990/,3/2/19,Master Data Science in R - Non-standard Evaluation in R,17
Nairobi Women in Machine Learning & Data Science,https://www.meetup.com/Nairobi-Women-in-Machine-Learning-Data-Science/events/259287679/,3/16/19,Indaba X Kenya,75
Bengaluru Women in Machine Learning & Data Science,https://www.meetup.com/Bengaluru-Women-in-Machine-Learning-and-Data-Science/events/254417912/,9/23/18,WiMLDS Bengaluru Launch event followed by networking,60
Bengaluru Women in Machine Learning & Data Science,https://www.meetup.com/Bengaluru-Women-in-Machine-Learning-and-Data-Science/events/256217081/,11/25/18,Introduction to Deep Learning,87
Bengaluru Women in Machine Learning & Data Science,https://www.meetup.com/Bengaluru-Women-in-Machine-Learning-and-Data-Science/events/257973580/,2/9/19,Workshop on how to win Kaggle datascience competitions by WiDS Bengaluru,292
Chennai Women in Machine Learning & Data Science,https://www.meetup.com/Chennai-Women-in-Machine-Learning-and-Data-Science/events/254576459/,9/15/18,StartML Series: Kickstarter Event,32
Delhi Women in Machine Learning & Data Science,https://www.meetup.com/Delhi-Women-in-Machine-Learning-Data-Science/events/248730875/,3/18/18,Machine Learning Unplugged,8
Delhi Women in Machine Learning & Data Science,https://www.meetup.com/Delhi-Women-in-Machine-Learning-Data-Science/events/248933826/,3/28/18,AI AMA Wednesday with Abi,5
Delhi Women in Machine Learning & Data Science,https://www.meetup.com/Delhi-Women-in-Machine-Learning-Data-Science/events/253976352/,8/25/18,Machine Learning Quest,16
Delhi Women in Machine Learning & Data Science,https://www.meetup.com/Delhi-Women-in-Machine-Learning-Data-Science/events/255414911/,10/13/18,"MLCC Study Jam, New Delhi in collaboration with WiMLDS",15
